Ticker,Price,Change,Range,Z-Score,Vol,Status
SOFI,24.90999984741211,-6.773950271165449,13.73744633785973,-1.1899272465361375,84.23440870934425,🌊 RANGE 🚀 MOVE 
JD,28.389999389648438,-1.679655793425325,3.9910539346209593,-0.5522690232686096,26.339119399188053,
GOOGL,289.45001220703125,-1.1474967998284071,5.828462435792487,-0.8562949362004654,34.16657171756838,🌊 RANGE 
INTC,33.619998931884766,-4.24380989052873,8.888891008165148,-1.2317905089412555,47.097618814109694,🌊 RANGE 
COIN,238.16000366210938,-7.435191514431651,10.627742024468763,-1.222466977161075,78.47290988810813,🌊 RANGE 🚀 MOVE 
PDD,112.93000030517578,-4.3128253538970585,5.116434179582688,-1.6006420849872207,34.81992063294597,🔥 Z-BREAK 🌊 RANGE 
IBIT,48.959999084472656,-3.489060661808248,6.228306024338151,-0.7961299417993831,46.08172704298024,🌊 RANGE 
AVGO,346.82000732421875,-2.144350153935439,8.442621283192452,-0.8976043470287206,39.079576075095694,🌊 RANGE 
BITF,2.5999999046325684,0.0,13.479057901756603,0.3530838025867943,96.4586197959188,🌊 RANGE 
CSCO,75.44000244140625,-3.763231242774752,5.99089699093103,-2.096518701672757,31.326841406269274,🔥 Z-BREAK 🌊 RANGE 
RIOT,12.779999732971191,-4.269667657011578,11.292614781274658,-0.42300224721630447,76.94329971713461,🌊 RANGE 
OPEN,6.159999847412109,-7.922275116221038,11.933859565936261,-0.8937220103126359,134.85630275894562,🌊 RANGE 🚀 MOVE 
GME,19.940000534057617,-2.3506343802298555,3.698298088066234,-1.2965927330670093,18.509665315030364,
COST,893.2899780273438,0.3020438485456349,1.5187473222404868,0.5750750850161426,15.34634542637965,
PEP,146.10000610351562,-0.6865573398446904,1.4870449139210735,-0.45409062108059844,17.862628066345437,
CLSK,9.779999732971191,-4.305288870462384,13.441866497660794,-0.30901321669715404,77.26487005227966,🌊 RANGE 
TXN,153.3300018310547,-2.393528928951292,4.122410294318262,-1.1276803921320024,26.359809395223248,
HON,188.13999938964844,-1.2751261170054502,3.372657974424419,-0.740680437738863,17.369604783352692,
HOOD,106.20999908447266,-10.113409112451436,14.301567899260625,-1.748790692266595,82.40269231101061,🔥 Z-BREAK 🌊 RANGE 🚀 MOVE 
MSTR,177.1300048828125,-5.024126068197051,11.458118256089481,-0.6183122285416404,71.18036485257939,🌊 RANGE 🚀 MOVE 
META,589.1500244140625,-0.19819469027646655,3.872410127123032,0.3082639629225123,44.080926068243755,
